team1,team2,game_number,map_name,score1,team1_p1,team1_p2,team1_p3,team1_p4,team1_p5,team1_p6,team2_p1,team2_p2,team2_p3,team2_p4,team2_p5,team2_p6,
GLA,VAL,4,junkertown,-1,00,BigGoose,Shaz,Hydration,Asher,Bischu,iRemiix,Envy,Kariv,Agilities,Soon,Unkoe,Fate,
GLA,VAL,5,lijiang,-1,00,BigGoose,Shaz,iRemiix,Asher,Surefour,Hydration,Envy,Kariv,Agilities,Soon,Unkoe,Fate,
BOS,LDN,1,numbani,-1,00,Gamsu,NotE,Kellex,DreamKazper,STRIKER,Neko,Bdosin,birdring,Fury,NUS,Hooreg,Gesture,
BOS,LDN,2,temple-of-anubis,1,00,Gamsu,NotE,DreamKazper,Kellex,Neko,STRIKER,Bdosin,birdring,Rascal,Gesture,Fury,NUS,
BOS,LDN,3,ilios,1,00,Gamsu,NotE,DreamKazper,Kellex,STRIKER,Neko,Bdosin,Fury,Gesture,NUS,Hooreg,birdring,
BOS,LDN,4,junkertown,-1,00,Gamsu,NotE,DreamKazper,Kellex,Neko,STRIKER,Bdosin,Fury,NUS,Gesture,Profit,birdring,
BOS,LDN,5,lijiang,2,00,Gamsu,NotE,Neko,Kellex,STRIKER,DreamKazper,Bdosin,Fury,NUS,Gesture,birdring,Profit,
PHI,NYE,1,numbani,-1,00,Poko,fragi,Boombox,Carpe,Neptuno,ShaDowBurn,Saebyeolbe,Ark,Jjonak,Meko,Janus,Libero,
PHI,NYE,2,temple-of-anubis,1,00,Poko,ShaDowBurn,Neptuno,Boombox,fragi,Carpe,Saebyeolbe,Ark,Mano,Meko,Libero,Jjonak,
PHI,NYE,3,ilios,-1,00,Poko,fragi,Boombox,Carpe,Neptuno,ShaDowBurn,Pine,Saebyeolbe,Ark,Jjonak,Janus,Meko,
PHI,NYE,4,dorado,1,00,Poko,fragi,Boombox,Carpe,Neptuno,ShaDowBurn,Libero,Janus,Meko,Jjonak,Ark,Saebyeolbe,
PHI,NYE,5,lijiang,2,00,Poko,fragi,ShaDowBurn,Neptuno,Boombox,Carpe,Saebyeolbe,Janus,Meko,Jjonak,Ark,Libero,
HOU,FLA,1,numbani,1,00,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
HOU,FLA,2,horizon-lunar-colony,2,00,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
HOU,FLA,3,ilios,2,00,Rawkus,Coolmatt,Jake,Muma,Boink,LiNkzr,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
HOU,FLA,4,junkertown,3,00,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
SEO,NYE,1,eichenwalde,-1,00,KuKi,Munchkin,tobi,ryujehong,ZUNBA,FLETA,Saebyeolbe,Mano,Meko,Jjonak,Ark,Libero,
SEO,NYE,2,horizon-lunar-colony,1,00,ZUNBA,FLETA,ryujehong,tobi,Munchkin,KuKi,Saebyeolbe,Ark,Jjonak,Mano,Meko,Libero,
SEO,NYE,3,oasis,-1,00,Munchkin,KuKi,FLETA,ryujehong,tobi,ZUNBA,Saebyeolbe,Ark,Jjonak,Mano,Meko,Libero,
SEO,NYE,4,junkertown,1,00,Wekeed,KuKi,FLETA,ZUNBA,tobi,ryujehong,Saebyeolbe,Ark,Jjonak,Mano,Meko,Libero,
SEO,NYE,5,lijiang,-2,00,KuKi,FLETA,Bunny,ryujehong,tobi,ZUNBA,Saebyeolbe,Ark,Jjonak,Mano,Meko,Libero,
SHD,PHI,1,eichenwalde,-1,00,Freefeel,Altering,Undead,Diya,MG,Roshan,fragi,Carpe,DayFly,Hotba,ShaDowBurn,Neptuno,
SHD,PHI,2,horizon-lunar-colony,-1,00,Diya,Undead,Xushu,Freefeel,Altering,Roshan,fragi,Carpe,Neptuno,ShaDowBurn,DayFly,Hotba,
SHD,PHI,3,oasis,1,00,Freefeel,Undead,Altering,Xushu,Diya,Roshan,Carpe,ShaDowBurn,DayFly,Hotba,Neptuno,fragi,
SHD,PHI,4,junkertown,1,00,Roshan,Diya,Fiveking,MG,Undead,Freefeel,fragi,Hotba,DayFly,ShaDowBurn,Neptuno,Carpe,
SHD,PHI,5,lijiang,-2,00,Altering,Roshan,Undead,Freefeel,MG,Diya,Hotba,DayFly,Neptuno,Carpe,ShaDowBurn,fragi,
DAL,SFS,1,eichenwalde,0,00,Custa,Mickie,Chipshajen,Seagull,EFFECT,cocco,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,
DAL,SFS,2,horizon-lunar-colony,1,00,Custa,Mickie,Chipshajen,Seagull,EFFECT,cocco,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,
DAL,SFS,3,ilios,2,00,Custa,Mickie,Chipshajen,Seagull,EFFECT,cocco,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,
DAL,SFS,4,junkertown,2,00,Custa,Mickie,Chipshajen,Seagull,EFFECT,cocco,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,
DAL,BOS,1,numbani,2,00,Seagull,EFFECT,Mickie,cocco,Chipshajen,Custa,DreamKazper,STRIKER,Gamsu,NotE,Neko,Kellex,
DAL,BOS,2,temple-of-anubis,-1,00,Seagull,Chipshajen,Custa,Mickie,EFFECT,cocco,Gamsu,Neko,NotE,DreamKazper,STRIKER,Kellex,
DAL,BOS,3,ilios,-1,00,Seagull,Chipshajen,Custa,Mickie,EFFECT,cocco,Gamsu,NotE,DreamKazper,Kellex,STRIKER,Neko,
DAL,BOS,4,dorado,3,00,Seagull,Chipshajen,Custa,Mickie,EFFECT,cocco,Gamsu,NotE,DreamKazper,Kellex,STRIKER,Neko,
DAL,BOS,5,lijiang,-2,00,Seagull,Chipshajen,Custa,Mickie,EFFECT,cocco,Gamsu,DreamKazper,Kellex,STRIKER,Kalios,Neko,
VAL,FLA,1,eichenwalde,1,00,Unkoe,Soon,Agilities,Envy,Kariv,Fate,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
VAL,FLA,2,temple-of-anubis,2,00,Unkoe,Soon,Agilities,Envy,Kariv,Fate,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
VAL,FLA,3,ilios,2,00,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
VAL,FLA,4,dorado,-1,00,Unkoe,Soon,Agilities,Envy,Kariv,Fate,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
GLA,HOU,1,numbani,-1,00,Surefour,Bischu,iRemiix,BigGoose,Shaz,Hydration,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,
GLA,HOU,2,temple-of-anubis,-1,00,Surefour,Bischu,iRemiix,BigGoose,Shaz,Hydration,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,
GLA,HOU,3,ilios,-2,00,Bischu,iRemiix,BigGoose,Shaz,Hydration,Asher,Rawkus,Coolmatt,Jake,Muma,Boink,LiNkzr,
GLA,HOU,4,dorado,-1,00,Surefour,Bischu,iRemiix,BigGoose,Shaz,Hydration,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,
VAL,PHI,1,numbani,1,00,Soon,Silkthread,Verbo,Envy,Kariv,Fate,ShaDowBurn,fragi,Neptuno,Boombox,Carpe,Hotba,
VAL,PHI,2,temple-of-anubis,1,00,Soon,Agilities,Verbo,Envy,Kariv,Fate,ShaDowBurn,fragi,Neptuno,Boombox,Carpe,Hotba,
VAL,PHI,3,oasis,2,00,Soon,Agilities,Verbo,Envy,Kariv,Fate,ShaDowBurn,fragi,Neptuno,Boombox,Carpe,Hotba,
VAL,PHI,4,dorado,1,00,Soon,Agilities,Verbo,Envy,Kariv,Fate,ShaDowBurn,fragi,Neptuno,Boombox,Carpe,Hotba,
FLA,GLA,1,eichenwalde,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Surefour,Bischu,iRemiix,BigGoose,Shaz,Hydration,
FLA,GLA,2,horizon-lunar-colony,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Surefour,Bischu,iRemiix,BigGoose,Shaz,Hydration,
FLA,GLA,3,oasis,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Surefour,Bischu,iRemiix,BigGoose,Shaz,Asher,
FLA,GLA,4,junkertown,1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Bischu,iRemiix,BigGoose,Shaz,Hydration,Asher,
HOU,SFS,1,numbani,1,00,Rawkus,Coolmatt,Jake,Muma,Bani,Clockwork,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,
HOU,SFS,2,temple-of-anubis,1,00,Rawkus,Coolmatt,Jake,Muma,Bani,Clockwork,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,
HOU,SFS,3,oasis,-1,00,Rawkus,Coolmatt,Jake,Muma,Boink,Clockwork,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,
HOU,SFS,4,dorado,2,00,Rawkus,Coolmatt,Jake,Muma,Bani,Clockwork,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,
PHI,DAL,1,eichenwalde,1,00,ShaDowBurn,fragi,Neptuno,Boombox,Carpe,Hotba,Taimou,HarryHook,Mickie,Chipshajen,EFFECT,cocco,
PHI,DAL,2,temple-of-anubis,1,00,ShaDowBurn,fragi,Neptuno,Boombox,Carpe,Hotba,Taimou,HarryHook,Mickie,Chipshajen,EFFECT,cocco,
PHI,DAL,3,ilios,2,00,ShaDowBurn,fragi,Neptuno,Boombox,Carpe,Hotba,Taimou,HarryHook,Mickie,Chipshajen,EFFECT,cocco,
PHI,DAL,4,dorado,1,00,ShaDowBurn,fragi,Neptuno,Boombox,Carpe,Hotba,Taimou,HarryHook,Mickie,Chipshajen,EFFECT,cocco,
NYE,SHD,1,eichenwalde,2,00,Mano,Meko,Pine,Ark,Jjonak,Libero,Undead,MG,Roshan,Diya,Freefeel,Fiveking,
NYE,SHD,2,temple-of-anubis,1,00,Mano,Meko,Pine,Ark,Jjonak,Libero,Undead,MG,Roshan,Diya,Freefeel,Fiveking,
NYE,SHD,3,oasis,1,00,Mano,Meko,Pine,Ark,Jjonak,Libero,Undead,MG,Roshan,Diya,Freefeel,Fiveking,
NYE,SHD,4,dorado,3,00,Mano,Meko,Pine,Ark,Jjonak,Libero,Undead,MG,Roshan,Diya,Freefeel,Fiveking,
LDN,SEO,1,numbani,2,00,birdring,Rascal,Closer,HaGoPeun,WooHyaL,Gesture,ZUNBA,tobi,Miro,gido,FLETA,Bunny,
LDN,SEO,2,temple-of-anubis,2,00,birdring,Profit,Closer,HaGoPeun,WooHyaL,Gesture,ZUNBA,tobi,Miro,gido,FLETA,Bunny,
LDN,SEO,3,ilios,2,00,Bdosin,Fury,NUS,Hooreg,Profit,Gesture,ZUNBA,tobi,Miro,gido,FLETA,Bunny,
LDN,SEO,4,dorado,1,00,birdring,Profit,Closer,HaGoPeun,WooHyaL,Gesture,ZUNBA,tobi,Miro,gido,FLETA,Bunny,
SFS,FLA,1,numbani,1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
SFS,FLA,2,temple-of-anubis,1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
SFS,FLA,3,ilios,2,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
SFS,FLA,4,junkertown,1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
SEO,HOU,1,eichenwalde,-1,00,Wekeed,FLETA,tobi,ryujehong,ZUNBA,Miro,Muma,Coolmatt,Jake,Rawkus,Clockwork,Bani,
SEO,HOU,2,horizon-lunar-colony,1,00,Wekeed,Miro,tobi,ryujehong,ZUNBA,FLETA,Muma,Coolmatt,Clockwork,Bani,Jake,Rawkus,
SEO,HOU,3,ilios,2,00,Munchkin,FLETA,ZUNBA,Miro,ryujehong,tobi,Jake,Rawkus,Coolmatt,Muma,Boink,Clockwork,
SEO,HOU,4,junkertown,-1,00,Wekeed,FLETA,ZUNBA,Miro,tobi,ryujehong,Muma,Coolmatt,Clockwork,Jake,Rawkus,Bani,
SEO,HOU,5,lijiang,1,00,Munchkin,FLETA,ZUNBA,Miro,ryujehong,tobi,Boink,Coolmatt,Muma,Clockwork,Jake,Rawkus,
GLA,BOS,1,numbani,-1,00,Surefour,Bischu,iRemiix,BigGoose,Shaz,Hydration,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,
GLA,BOS,2,temple-of-anubis,-1,00,Surefour,Bischu,iRemiix,BigGoose,Shaz,Hydration,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,
GLA,BOS,3,oasis,-2,00,Surefour,Bischu,iRemiix,BigGoose,Shaz,Asher,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,
GLA,BOS,4,dorado,-1,00,Surefour,Bischu,iRemiix,BigGoose,Shaz,Hydration,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,
SHD,LDN,1,eichenwalde,-1,00,Undead,Roshan,Diya,Xushu,Freefeel,Fiveking,Hooreg,Profit,Closer,HaGoPeun,WooHyaL,Gesture,
SHD,LDN,2,horizon-lunar-colony,-1,00,Undead,Roshan,Diya,Xushu,Freefeel,Fiveking,birdring,Fury,Profit,Closer,HaGoPeun,Gesture,
SHD,LDN,3,ilios,-2,00,Undead,Roshan,Diya,Xushu,Freefeel,Altering,Bdosin,NUS,Hooreg,Profit,Closer,Gesture,
SHD,LDN,4,junkertown,-1,00,Undead,Roshan,Diya,Xushu,Freefeel,Fiveking,Bdosin,birdring,NUS,Profit,WooHyaL,Gesture,
DAL,NYE,1,numbani,-1,00,Taimou,HarryHook,Mickie,Chipshajen,EFFECT,cocco,Saebyeolbe,Janus,Meko,Ark,Jjonak,Libero,
DAL,NYE,2,temple-of-anubis,-2,00,Taimou,HarryHook,Mickie,Chipshajen,EFFECT,cocco,Mano,Saebyeolbe,Meko,Ark,Jjonak,Libero,
DAL,NYE,3,oasis,1,00,Taimou,HarryHook,Mickie,Chipshajen,EFFECT,cocco,Mano,Meko,Pine,Ark,Jjonak,Libero,
DAL,NYE,4,dorado,-1,00,Taimou,HarryHook,Mickie,Chipshajen,EFFECT,cocco,Mano,Meko,Pine,Ark,Jjonak,Libero,
BOS,VAL,1,eichenwalde,2,00,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,Soon,Agilities,Verbo,Envy,Kariv,Fate,
BOS,VAL,2,horizon-lunar-colony,1,00,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,Soon,Agilities,Verbo,Envy,Kariv,Fate,
BOS,VAL,3,oasis,2,00,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,Soon,Agilities,Verbo,Envy,Kariv,Fate,
BOS,VAL,4,junkertown,2,00,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,Soon,Agilities,Verbo,Envy,Kariv,Fate,
SHD,DAL,1,eichenwalde,1,00,MG,Diya,Undead,Freefeel,Altering,Roshan,Seagull,Taimou,Chipshajen,Mickie,HarryHook,cocco,
SHD,DAL,2,horizon-lunar-colony,-1,00,MG,Diya,Undead,Freefeel,Altering,Roshan,Seagull,Taimou,Chipshajen,Mickie,cocco,HarryHook,
SHD,DAL,3,oasis,-2,00,MG,Diya,Undead,Freefeel,Altering,Roshan,Seagull,Taimou,Chipshajen,Mickie,HarryHook,cocco,
SHD,DAL,4,dorado,1,00,MG,Diya,Undead,Freefeel,Altering,Roshan,Seagull,Taimou,Mickie,HarryHook,cocco,Chipshajen,
SHD,DAL,5,lijiang,-1,00,MG,Diya,Undead,Freefeel,Altering,Roshan,Seagull,Taimou,Chipshajen,Mickie,HarryHook,cocco,
SFS,GLA,1,numbani,1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Surefour,Bischu,iRemiix,BigGoose,Shaz,Asher,
SFS,GLA,2,horizon-lunar-colony,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Surefour,Bischu,iRemiix,BigGoose,Shaz,Hydration,
SFS,GLA,3,oasis,-2,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Surefour,Bischu,iRemiix,BigGoose,Shaz,Asher,
SFS,GLA,4,junkertown,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Bischu,iRemiix,BigGoose,Shaz,Hydration,Asher,
VAL,SEO,1,eichenwalde,2,00,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,ZUNBA,ryujehong,Miro,gido,FLETA,Bunny,
VAL,SEO,2,temple-of-anubis,0,00,Unkoe,Soon,Agilities,Envy,Kariv,Fate,ZUNBA,ryujehong,Miro,gido,Wekeed,Munchkin,
VAL,SEO,3,oasis,2,00,Unkoe,Soon,Agilities,Envy,Kariv,Fate,ZUNBA,tobi,ryujehong,Miro,FLETA,Bunny,
VAL,SEO,4,dorado,1,00,Unkoe,Soon,Agilities,Envy,Kariv,Fate,ZUNBA,tobi,ryujehong,Miro,FLETA,Bunny,
PHI,BOS,1,eichenwalde,-1,00,ShaDowBurn,fragi,Neptuno,Boombox,Carpe,Poko,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,
PHI,BOS,2,horizon-lunar-colony,-1,00,ShaDowBurn,fragi,Neptuno,Boombox,Carpe,Poko,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,
PHI,BOS,3,ilios,-2,00,ShaDowBurn,fragi,Neptuno,Boombox,Carpe,Poko,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,
PHI,BOS,4,junkertown,-1,00,ShaDowBurn,fragi,Neptuno,Boombox,Carpe,Poko,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,
FLA,NYE,1,eichenwalde,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Mano,Meko,Pine,Ark,Jjonak,Libero,
FLA,NYE,2,horizon-lunar-colony,0,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Mano,Meko,Pine,Ark,Jjonak,Libero,
FLA,NYE,3,ilios,-2,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Janus,Meko,Pine,Ark,Jjonak,Libero,
FLA,NYE,4,junkertown,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Mano,Meko,Pine,Ark,Jjonak,Libero,
LDN,HOU,1,eichenwalde,-1,00,birdring,Profit,Closer,HaGoPeun,WooHyaL,Gesture,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,
LDN,HOU,2,temple-of-anubis,-1,00,birdring,Fury,Profit,Closer,HaGoPeun,Gesture,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,
LDN,HOU,3,oasis,-2,00,Bdosin,birdring,Fury,NUS,Profit,Gesture,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,
LDN,HOU,4,dorado,1,00,Bdosin,birdring,NUS,Profit,WooHyaL,Gesture,Rawkus,Coolmatt,Jake,Muma,Bani,LiNkzr,
GLA,DAL,1,eichenwalde,-1,00,Surefour,Bischu,iRemiix,BigGoose,Shaz,Hydration,Taimou,HarryHook,Mickie,Chipshajen,Seagull,cocco,
GLA,DAL,2,temple-of-anubis,-1,00,Surefour,Bischu,iRemiix,BigGoose,Shaz,Hydration,Taimou,HarryHook,Mickie,Chipshajen,Seagull,cocco,
GLA,DAL,3,oasis,-2,00,Surefour,Bischu,iRemiix,BigGoose,Shaz,Asher,Taimou,HarryHook,Mickie,Chipshajen,Seagull,cocco,
GLA,DAL,4,dorado,3,00,Surefour,Bischu,iRemiix,BigGoose,Shaz,Hydration,Taimou,HarryHook,Mickie,Chipshajen,Seagull,cocco,
SEO,SFS,1,eichenwalde,1,00,Miro,Bunny,tobi,ryujehong,ZUNBA,FLETA,BABYBAY,sleepy,Danteh,dhaK,Nomy,Nevix,
SEO,SFS,2,temple-of-anubis,-1,00,Munchkin,Wekeed,ryujehong,tobi,Miro,ZUNBA,BABYBAY,sleepy,Danteh,dhaK,Nomy,Nevix,
SEO,SFS,3,ilios,-1,00,Miro,ZUNBA,ryujehong,Bunny,tobi,FLETA,BABYBAY,sleepy,Danteh,dhaK,Nomy,Nevix,
SEO,SFS,4,dorado,1,00,Miro,Bunny,tobi,ryujehong,ZUNBA,FLETA,BABYBAY,sleepy,Danteh,dhaK,Nomy,Nevix,
SEO,SFS,5,lijiang,2,00,ZUNBA,Miro,tobi,ryujehong,Bunny,FLETA,BABYBAY,sleepy,Danteh,Nomy,dhaK,Nevix,
VAL,SHD,1,numbani,2,00,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,Undead,MG,Roshan,Diya,Freefeel,Altering,
VAL,SHD,2,temple-of-anubis,1,00,Unkoe,Soon,Agilities,Envy,Kariv,Fate,Undead,MG,Roshan,Diya,Freefeel,Altering,
VAL,SHD,3,ilios,2,00,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,Undead,MG,Roshan,Diya,Freefeel,Fiveking,
VAL,SHD,4,junkertown,3,00,Unkoe,Soon,Agilities,Envy,Kariv,Fate,Undead,Roshan,Diya,Xushu,Freefeel,Fiveking,
NYE,LDN,1,eichenwalde,-1,00,Saebyeolbe,Mano,Meko,Jjonak,Ark,Libero,Bdosin,NUS,Gesture,Profit,WooHyaL,birdring,
NYE,LDN,2,temple-of-anubis,1,00,Saebyeolbe,Ark,Libero,Meko,Mano,Jjonak,Fury,birdring,Bdosin,NUS,Profit,Gesture,
NYE,LDN,3,ilios,2,00,Pine,Janus,Meko,Jjonak,Ark,Saebyeolbe,Bdosin,NUS,Gesture,Profit,Fury,birdring,
NYE,LDN,4,dorado,-1,00,Libero,Janus,Meko,Jjonak,Ark,Saebyeolbe,WooHyaL,Bdosin,NUS,Profit,Gesture,birdring,
NYE,LDN,5,lijiang,2,00,Saebyeolbe,Mano,Ark,Libero,Meko,Jjonak,Bdosin,WooHyaL,Gesture,Profit,birdring,NUS,
HOU,BOS,1,eichenwalde,1,00,Muma,Bani,LiNkzr,Rawkus,Jake,Coolmatt,DreamKazper,STRIKER,Gamsu,NotE,Neko,Kellex,
HOU,BOS,2,temple-of-anubis,-1,00,Bani,LiNkzr,Muma,Coolmatt,Jake,Rawkus,Gamsu,DreamKazper,STRIKER,Kellex,Neko,NotE,
HOU,BOS,3,ilios,-2,00,Rawkus,Jake,Muma,Coolmatt,Boink,LiNkzr,Gamsu,DreamKazper,Kellex,Neko,STRIKER,NotE,
HOU,BOS,4,dorado,1,00,Muma,Coolmatt,LiNkzr,Jake,Rawkus,Bani,Gamsu,NotE,DreamKazper,Kellex,STRIKER,Neko,
HOU,BOS,5,lijiang,1,00,Muma,Coolmatt,Bani,Rawkus,Jake,LiNkzr,Gamsu,NotE,Neko,Kellex,DreamKazper,STRIKER,
FLA,PHI,1,numbani,-1,00,Manneten,Zebbosai,CWoosH,TviQ,Zuppeh,Logix,Carpe,ShaDowBurn,fragi,Boombox,Poko,Neptuno,
FLA,PHI,2,horizon-lunar-colony,1,00,Logix,Manneten,Zebbosai,CWoosH,TviQ,Zuppeh,Poko,fragi,Boombox,Carpe,ShaDowBurn,Neptuno,
FLA,PHI,3,oasis,2,00,Logix,Manneten,Zebbosai,CWoosH,TviQ,Zuppeh,Poko,fragi,Carpe,Boombox,Neptuno,ShaDowBurn,
FLA,PHI,4,junkertown,-1,00,Logix,Manneten,Zebbosai,CWoosH,TviQ,Zuppeh,Poko,fragi,Boombox,Carpe,Neptuno,ShaDowBurn,
FLA,PHI,5,lijiang,-1,00,Logix,Manneten,Zebbosai,CWoosH,TviQ,Zuppeh,Carpe,fragi,Poko,Boombox,Neptuno,ShaDowBurn,
LDN,HOU,1,dorado,-1,00,birdring,WooHyaL,Gesture,Profit,NUS,Bdosin,Muma,Coolmatt,Bani,Rawkus,Jake,LiNkzr,
LDN,HOU,2,ilios,2,00,Fury,birdring,Gesture,Profit,NUS,Bdosin,Muma,Coolmatt,LiNkzr,Jake,Rawkus,Bani,
LDN,HOU,3,temple-of-anubis,2,00,Bdosin,NUS,Gesture,Fury,Profit,birdring,Muma,Coolmatt,LiNkzr,Jake,Rawkus,Bani,
LDN,HOU,4,eichenwalde,1,00,Bdosin,NUS,Gesture,birdring,Fury,Profit,Muma,Coolmatt,Jake,LiNkzr,Rawkus,Bani,
LDN,NYE,1,junkertown,-1,00,Bdosin,NUS,Gesture,Profit,WooHyaL,birdring,Pine,Mano,Meko,Jjonak,Libero,Ark,
LDN,NYE,2,oasis,-2,00,Bdosin,NUS,Fury,Gesture,Profit,birdring,Saebyeolbe,Ark,Jjonak,Mano,Meko,Libero,
LDN,NYE,3,horizon-lunar-colony,1,00,Bdosin,NUS,Gesture,Profit,Fury,birdring,Saebyeolbe,Janus,Jjonak,Meko,Libero,Ark,
LDN,NYE,4,numbani,1,00,Bdosin,NUS,Gesture,Rascal,Fury,birdring,Saebyeolbe,Janus,Meko,Jjonak,Ark,Libero,
LDN,NYE,5,dorado,1,00,Bdosin,NUS,Profit,Fury,birdring,Gesture,Saebyeolbe,Janus,Meko,Jjonak,Ark,Libero,
SEO,VAL,1,volskaya,2,00,ZUNBA,tobi,ryujehong,Miro,FLETA,Bunny,Unkoe,Soon,Agilities,Verbo,Envy,Fate,
SEO,VAL,2,nepal,2,00,ZUNBA,tobi,ryujehong,Miro,FLETA,Bunny,Unkoe,Soon,Agilities,Verbo,Envy,Fate,
SEO,VAL,3,kings-row,1,00,ZUNBA,tobi,ryujehong,Miro,FLETA,Bunny,Unkoe,Soon,Agilities,Verbo,Envy,Fate,
SEO,VAL,4,route-66,2,00,ZUNBA,tobi,ryujehong,Miro,FLETA,Bunny,Unkoe,Soon,Agilities,Verbo,Envy,Fate,
DAL,SHD,1,volskaya,2,00,Taimou,Custa,HarryHook,Mickie,aKm,EFFECT,Undead,MG,Roshan,Diya,Xushu,Fiveking,
DAL,SHD,2,nepal,2,00,Taimou,Custa,HarryHook,Mickie,aKm,EFFECT,Undead,Roshan,Diya,Xushu,Altering,Fiveking,
DAL,SHD,3,hollywood,-1,00,Taimou,Custa,HarryHook,Mickie,aKm,EFFECT,Undead,Roshan,Diya,Xushu,Altering,Fiveking,
DAL,SHD,4,route-66,2,00,Taimou,Custa,HarryHook,Mickie,EFFECT,Rascal,Undead,Roshan,Diya,Xushu,Altering,Fiveking,
GLA,SFS,1,hanamura,1,00,Surefour,Bischu,BigGoose,Shaz,Hydration,Fissure,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,
GLA,SFS,2,nepal,1,00,Bischu,BigGoose,Shaz,Hydration,Asher,Fissure,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,
GLA,SFS,3,kings-row,2,00,Surefour,Bischu,BigGoose,Shaz,Hydration,Fissure,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,
GLA,SFS,4,gibraltar,1,00,Surefour,Bischu,BigGoose,Shaz,Asher,Fissure,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,
HOU,LDN,1,volskaya,-1,00,Coolmatt,Muma,Bani,Boink,Clockwork,LiNkzr,birdring,Profit,Closer,HaGoPeun,WooHyaL,Gesture,
