team1,team2,game_number,map_name,score1,team1_p1,team1_p2,team1_p3,team1_p4,team1_p5,team1_p6,team2_p1,team2_p2,team2_p3,team2_p4,team2_p5,team2_p6,
SHD,BOS,2,horizon-lunar-colony,2,00,Diya,Undead,Fiveking,Xushu,Freefeel,Roshan,DreamKazper,STRIKER,Gamsu,NotE,Neko,Snow,
SHD,BOS,3,ilios,1,00,Undead,Diya,Altering,MG,Freefeel,Roshan,DreamKazper,Mistakes,Gamsu,Kalios,Neko,Avast,
SHD,BOS,4,numbani,-1,00,Undead,MG,Roshan,Diya,Freefeel,Altering,DreamKazper,Gamsu,Snow,STRIKER,Kalios,Avast,
SHD,BOS,5,lijiang,-1,00,Undead,Diya,Altering,MG,Freefeel,Roshan,DreamKazper,STRIKER,Kellex,Gamsu,Kalios,Neko,
VAL,GLA,1,dorado,2,00,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,Surefour,iRemiix,BigGoose,Shaz,Hydration,Asher,
VAL,GLA,2,temple-of-anubis,2,00,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,Surefour,Bischu,iRemiix,BigGoose,Shaz,Asher,
VAL,GLA,3,oasis,-2,00,Grimreality,Silkthread,Verbo,Envy,Kariv,Fate,Surefour,Bischu,iRemiix,BigGoose,Shaz,Asher,
VAL,GLA,4,eichenwalde,1,00,Numlocked,Unkoe,Soon,Silkthread,Envy,Kariv,Surefour,Bischu,iRemiix,BigGoose,Shaz,Asher,
FLA,DAL,1,junkertown,3,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Custa,HarryHook,Mickie,Chipshajen,EFFECT,cocco,
FLA,DAL,2,horizon-lunar-colony,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,HarryHook,Mickie,Chipshajen,xQc,Seagull,EFFECT,
FLA,DAL,3,ilios,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Taimou,Custa,Mickie,Chipshajen,xQc,EFFECT,
FLA,DAL,4,numbani,-1,00,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,Taimou,Custa,Mickie,Chipshajen,xQc,EFFECT,
SEO,NYE,1,junkertown,-1,00,ZUNBA,tobi,ryujehong,FLETA,Wekeed,KuKi,Mano,Saebyeolbe,Meko,Pine,Ark,Libero,
SEO,NYE,2,horizon-lunar-colony,1,00,ZUNBA,tobi,ryujehong,FLETA,Munchkin,KuKi,Saebyeolbe,Janus,Meko,Pine,Ark,Libero,
SEO,NYE,3,ilios,1,00,ZUNBA,tobi,ryujehong,FLETA,Munchkin,KuKi,Saebyeolbe,Janus,Meko,Pine,Ark,Libero,
SEO,NYE,4,numbani,3,00,ZUNBA,tobi,ryujehong,Miro,FLETA,Bunny,Mano,Saebyeolbe,Meko,Pine,Ark,Libero,
SFS,VAL,1,dorado,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Unkoe,Soon,Agilities,Envy,Kariv,Fate,
SFS,VAL,2,temple-of-anubis,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Unkoe,Soon,Agilities,Envy,Kariv,Fate,
SFS,VAL,3,ilios,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,
SFS,VAL,4,numbani,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Unkoe,Soon,Silkthread,Envy,Kariv,Fate,
SHD,GLA,1,dorado,-1,00,Undead,Roshan,Diya,Xushu,Freefeel,Altering,Surefour,Bischu,iRemiix,BigGoose,Shaz,Hydration,
SHD,GLA,2,temple-of-anubis,-1,00,Undead,MG,Roshan,Diya,Freefeel,Altering,Surefour,Bischu,iRemiix,BigGoose,Shaz,Asher,
SHD,GLA,3,ilios,-2,00,Undead,MG,Roshan,Diya,Freefeel,Altering,Bischu,iRemiix,BigGoose,Shaz,Hydration,Asher,
SHD,GLA,4,eichenwalde,-1,00,Undead,MG,Roshan,Diya,Freefeel,Fiveking,Surefour,Bischu,iRemiix,BigGoose,Shaz,Asher,
DAL,SEO,1,junkertown,1,00,Taimou,Custa,HarryHook,Mickie,Seagull,EFFECT,ZUNBA,tobi,ryujehong,Miro,FLETA,Munchkin,
DAL,SEO,2,temple-of-anubis,-1,00,Taimou,HarryHook,Mickie,Chipshajen,xQc,EFFECT,ZUNBA,tobi,ryujehong,Miro,FLETA,Munchkin,
DAL,SEO,3,ilios,-2,00,Taimou,HarryHook,Mickie,Chipshajen,xQc,EFFECT,ZUNBA,tobi,ryujehong,Miro,FLETA,Munchkin,
DAL,SEO,4,numbani,0,00,Taimou,HarryHook,Mickie,Chipshajen,xQc,EFFECT,ZUNBA,tobi,ryujehong,Miro,FLETA,Munchkin,
LDN,FLA,1,dorado,-1,00,Bdosin,birdring,Fury,NUS,Profit,Gesture,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
LDN,FLA,2,temple-of-anubis,1,00,Bdosin,birdring,Fury,NUS,Profit,Gesture,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
LDN,FLA,3,oasis,2,00,Bdosin,birdring,Fury,NUS,Profit,Gesture,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
LDN,FLA,4,numbani,3,00,Bdosin,birdring,Fury,NUS,Profit,Gesture,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,
PHI,HOU,1,dorado,1,00,Poko,fragi,Boombox,Carpe,Neptuno,ShaDowBurn,LiNkzr,Jake,Rawkus,Bani,Muma,Coolmatt,
PHI,HOU,2,horizon-lunar-colony,-1,00,Poko,fragi,Boombox,Carpe,Neptuno,ShaDowBurn,Muma,Coolmatt,Bani,Rawkus,Jake,LiNkzr,
PHI,HOU,3,oasis,2,00,Poko,fragi,Boombox,Carpe,Neptuno,ShaDowBurn,Muma,Coolmatt,Boink,Clockwork,Jake,Rawkus,
PHI,HOU,4,eichenwalde,-1,00,Poko,fragi,Boombox,Carpe,Neptuno,ShaDowBurn,Muma,Coolmatt,LiNkzr,Jake,Rawkus,Bani,
PHI,HOU,5,lijiang,2,00,Poko,fragi,Boombox,Carpe,Neptuno,ShaDowBurn,Muma,LiNkzr,Rawkus,SPREE,Jake,Boink,
BOS,NYE,1,junkertown,-1,00,Kellex,DreamKazper,Gamsu,STRIKER,Kalios,Neko,Mano,Saebyeolbe,Meko,Ark,Jjonak,Libero,
BOS,NYE,2,horizon-lunar-colony,1,00,Kellex,DreamKazper,Gamsu,STRIKER,Kalios,Neko,Mano,Saebyeolbe,Meko,Ark,Jjonak,Libero,
BOS,NYE,3,ilios,-2,00,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,Saebyeolbe,Janus,Meko,Pine,Ark,Jjonak,
BOS,NYE,4,numbani,-1,00,Kellex,DreamKazper,Gamsu,NotE,STRIKER,Neko,Saebyeolbe,Janus,Meko,Ark,Jjonak,Libero,
