36.36,50,51.21,50,58.82,88.89,12.5,11.11,5.17,3.14,12.12,5.56,9.9,11.11,71.21,47.69,45.45,22.22,46.67,75,2.286,1.333,45.45,61.11,26.67,27.27,33.33,100,1.5,1.5,-1
40,66.67,40,66.67,75,87.50,16.67,25,4.84,2.33,7.50,16.67,12.5,8.33,69.54,83.33,37.50,25,40,66.67,1.667,1,35,66.67,42.86,62.50,36.36,100,2.714,2.714,-1
47.62,47.62,52.38,47.62,72.73,80,20,18.18,5,5,9.52,0,0,9.52,97.78,70.59,33.33,33.33,57.14,57.14,1.750,1.5,33.33,33.33,57.14,42.86,28.57,42.86,1.5,1.750,-1
44.44,25,50,43.75,77.78,42.86,11.11,11.11,4.38,4.33,11.11,0,5.56,0,32.44,96.15,16.67,43.75,0,28.57,1,1,61.11,31.25,63.64,40,25,0,1.333,1.333,1
33.33,38.46,33.33,46.15,75,66.67,12.5,14.29,4,8.40,8.33,7.69,16.67,0,78.57,85.71,8.33,15.38,0,50,1,1,66.67,38.46,37.50,40,33.33,33.33,1,1.333,1
55.56,20,50,53.33,88.89,25,22.22,14.29,5.57,5.20,5.56,0,0,0,77.86,83.33,33.33,20,50,33.33,2.333,1,27.78,46.67,80,28.57,42.86,0,2.25,2,1
18.75,37.84,31.25,45.95,40,52.94,9.9,25,3.67,5.36,0,2.70,18.75,5.41,51.28,80.13,18.75,29.71,33.33,36.36,1,1.5,50,43.24,25,37.50,0,40,1,2,1
57.14,76.47,50,70.59,71.43,100,42.86,20,5,6.50,7.14,23.53,0,0,74.7,67.95,35.71,23.53,80,100,2,1,35.71,52.94,40,77.78,50,50,1,1.5,1
41.18,50,52.94,42.86,77.78,83.33,0,25,1.88,5.50,0,0,35.29,7.14,65.42,81.48,17.65,42.86,66.67,33.33,1.5,1,52.94,35.71,33.33,60,40,66.67,1.333,30,2
36.36,33.33,50,36.36,63.64,58.33,9.9,19.5,4.57,5,0,3.3,9.9,9.9,66.67,60.51,31.82,33.33,42.86,54.55,1,2,27.27,48.48,16.67,31.25,44.44,0,1.600,1.200,1
55.56,47.6,66.67,55.88,66.67,73.68,33.33,13.33,3.17,3.85,16.67,2.94,5.56,8.82,73.77,67.39,19.44,29.41,71.43,80,1,1.875,47.22,29.41,58.82,30,41.67,35.71,1.400,1,3
53.57,36.84,42.86,47.37,66.67,66.67,43.75,10,3.44,4.67,3.57,15.79,10.71,15.79,58.82,69.23,17.86,31.58,60,50,1,1.333,46.43,42.11,53.85,25,50,40,1.800,30,-1
44.83,44.44,62.7,55.56,66.67,80,9.9,0,6.10,3.67,3.45,0,0,11.11,68.58,83.33,34.38,22.22,50,50,1.400,30,41.38,44.44,33.33,25,57.14,66.67,1.667,1,-2
57.89,33.33,31.58,50,100,44.44,38.46,22.22,4.14,4.57,5.26,0,10.53,11.11,71.82,71.11,47.37,22.22,66.67,25,2,2,42.11,50,62.50,22.22,0,60,1,1,-1
56.25,53.33,62.50,33.33,80,80,16.67,40,4.33,4.83,0,13.33,6.25,0,78.33,74.17,31.25,20,20,66.67,1,1,43.75,80,85.71,50,50,0,30,0,-1
42.86,34.62,48.57,42.31,76.47,72.73,11.11,6.67,5.38,5.38,5.71,3.85,2.86,0,95.65,84.44,40,23.8,42.86,33.33,1.667,2,31.43,30.77,63.64,37.50,20,33.33,1.714,1.429,2
57.14,43.48,50,56.52,71.43,46.15,42.86,40,5,4.83,7.14,4.35,0,4.35,74.7,83.33,35.71,21.74,80,40,2,2,35.71,47.83,40,36.36,50,57.14,1,1.667,-1
47.37,31.25,52.63,43.75,90,71.43,0,0,6.14,6,0,6.25,5.26,0,68.33,75,36.84,31.25,57.14,20,1.250,1,42.11,31.25,37.50,40,50,33.33,1,2,1
16.67,47.62,25,52.38,66.67,81.82,0,10,4,4.89,0,4.76,8.33,4.76,68.75,73.33,8.33,28.57,0,66.67,0,1.5,58.33,19.5,14.29,50,25,36.36,1,1.571,2
78.57,38.89,50,50,100,59.26,57.14,18.52,8,5.13,0,1.85,0,5.56,100,77.3,42.86,22.22,83.33,41.67,1.600,1.600,28.57,44.44,50,45.83,100,27.78,0,2.91,-1
45,72.73,45,51.52,88.89,100,9.9,43.75,4.80,4.56,0,21.21,5,3.3,70.51,69.79,40,42.42,62.50,71.43,1.600,1.5,30,45.45,33.33,80,33.33,50,1.5,1.5,-2
55,61.2,65,54.24,76.92,90.63,14.29,25.93,5,4.30,5,8.47,5,3.39,52.50,64.7,25,42.37,80,68,1.250,1.235,50,33.90,40,70,60,35.71,1,1.667,-3
41.51,55,54.72,45,62.7,100,16.67,18.18,4.61,5.38,9.43,10,9.43,0,73.72,64.44,39.62,30,52.38,83.33,2.91,1.600,47.17,55,40,45.45,14.29,33.33,1.333,2,1
53.85,38.81,58.97,41.79,65.22,64.29,37.50,20.51,5.10,5.10,10.26,2.99,2.56,4.48,85.80,62.41,30.77,29.85,58.33,55,1.429,1.636,43.59,49.25,52.94,42.42,50,7.14,2.200,1.83,1
64.52,52.50,67.74,60,76.19,75,40,18.75,4.80,4.83,16.13,0,0,5,72.6,81.25,29.3,27.50,66.67,72.73,1.333,1.5,41.94,47.50,46.15,57.89,88.89,20,1,1.375,1
26.32,53.85,31.58,53.85,50,71.43,15.38,33.33,5.73,3.33,5.26,0,0,7.69,91.94,78.57,15.79,38.46,66.67,99,1,2,52.63,46.15,30,33.33,0,0,1.833,1,2
65.63,14.29,62.50,28.57,85,50,33.33,0,5,5.50,6.25,0,0,7.14,66.67,86.67,21.88,28.57,57.14,0,1.250,0,56.25,57.14,72.22,25,57.14,0,2,1,1
32.14,42.50,39.29,37.50,54.55,66.67,17.65,28,5,4.50,0,2.50,0,0,75,83.33,21.43,30,50,75,1,1.667,53.57,40,40,18.75,0,41.67,1.714,1.333,1
44.44,46.67,44.44,40,75,66.67,20,33.33,5.25,5.33,11.11,6.67,0,6.67,94.44,76.92,33.33,33.33,33.33,40,1,2.500,44.44,33.33,75,40,0,60,30,1.5,1
34.78,62.16,47.83,51.35,72.73,84.21,0,38.89,3.18,5,8.70,0,4.35,5.41,60.83,85.53,13.4,27.3,66.67,90,1.5,1.667,56.52,40.54,30.77,53.33,28.57,50,1.600,1.667,1
0,37.50,25,37.50,0,83.33,0,10,2.33,4.69,0,0,25,6.25,50,70.8,12.5,31.25,0,70,0,1.429,50,43.75,0,21.43,0,25,1,1.400,-1
54.84,50,45.16,56.25,82.14,66.67,32.35,28.57,3.18,3.78,1.61,0,12.90,6.25,58.54,58.2,29.3,12.5,72.22,100,1.38,2,48.39,68.75,43.33,45.45,57.14,33.33,1,1,1
0,41.18,25,52.94,0,72.22,0,6.25,4.22,5.50,0,2.94,8.33,2.94,40.28,58.40,25,14.71,0,80,0,1.250,33.33,55.88,0,36.84,0,30,2,1.571,-1
63.1,41.18,56.16,41.18,90.24,57.14,28.13,30,4.13,4.71,6.85,5.88,2.74,0,65.43,81.82,41.10,29.41,73.33,60,1.364,2,39.73,47.6,65.52,37.50,35.71,25,1.667,1.667,1
41.67,19.5,45,42.86,62.96,33.33,24.24,8.33,4.13,4.22,5,0,8.33,0,67.26,91.18,26.67,42.86,50,22.22,1.375,1,36.67,28.57,45.45,33.33,31.82,0,1.533,1.200,1
