36.36,50.00,51.21,50.00,58.82,88.89,12.50,11.11,05.17,03.14,12.12,05.56,09.09,11.11,71.21,47.69,45.45,22.22,46.67,75.00,45.45,61.11,26.67,27.27,33.33,99.99,4,0
40.00,66.67,40.00,66.67,75.00,87.50,16.67,25.00,04.84,02.33,07.50,16.67,12.50,08.33,69.54,83.33,37.50,25.00,40.00,66.67,35.00,66.67,42.86,62.50,36.36,99.99,3,0
47.62,47.62,52.38,47.62,72.73,80.00,20.00,18.18,05.00,05.00,09.52,00.00,00.00,09.52,97.78,70.59,33.33,33.33,57.14,57.14,33.33,33.33,57.14,42.86,28.57,42.86,1,0
44.44,25.00,50.00,43.75,77.78,42.86,11.11,11.11,04.38,04.33,11.11,00.00,05.56,00.00,32.44,96.15,16.67,43.75,00.00,28.57,61.11,31.25,63.64,40.00,25.00,00.00,4,1
33.33,38.46,33.33,46.15,75.00,66.67,12.50,14.29,04.00,08.40,08.33,07.69,16.67,00.00,78.57,85.71,08.33,15.38,00.00,50.00,66.67,38.46,37.50,40.00,33.33,33.33,3,1
55.56,20.00,50.00,53.33,88.89,25.00,22.22,14.29,05.57,05.20,05.56,00.00,00.00,00.00,77.86,83.33,33.33,20.00,50.00,33.33,27.78,46.67,80.00,28.57,42.86,00.00,2,1
18.75,37.84,31.25,45.95,40.00,52.94,09.09,25.00,03.67,05.36,00.00,02.70,18.75,05.41,51.28,80.13,18.75,29.71,33.33,36.36,50.00,43.24,25.00,37.50,00.00,40.00,4,1
57.14,76.47,50.00,70.59,71.43,99.99,42.86,20.00,05.00,06.50,07.14,23.53,00.00,00.00,74.07,67.95,35.71,23.53,80.00,99.99,35.71,52.94,40.00,77.78,50.00,50.00,4,1
41.18,50.00,52.94,42.86,77.78,83.33,00.00,25.00,01.88,05.50,00.00,00.00,35.29,07.14,65.42,81.48,17.65,42.86,66.67,33.33,52.94,35.71,33.33,60.00,40.00,66.67,1,1
36.36,33.33,50.00,36.36,63.64,58.33,09.09,19.05,04.57,05.00,00.00,03.03,09.09,09.09,66.67,60.51,31.82,33.33,42.86,54.55,27.27,48.48,16.67,31.25,44.44,00.00,4,1
55.56,47.06,66.67,55.88,66.67,73.68,33.33,13.33,03.17,03.85,16.67,02.94,05.56,08.82,73.77,67.39,19.44,29.41,71.43,80.00,47.22,29.41,58.82,30.00,41.67,35.71,2,1
53.57,36.84,42.86,47.37,66.67,66.67,43.75,10.00,03.44,04.67,03.57,15.79,10.71,15.79,58.82,69.23,17.86,31.58,60.00,50.00,46.43,42.11,53.85,25.00,50.00,40.00,4,0
44.83,44.44,62.07,55.56,66.67,80.00,09.09,00.00,06.10,03.67,03.45,00.00,00.00,11.11,68.58,83.33,34.38,22.22,50.00,50.00,41.38,44.44,33.33,25.00,57.14,66.67,1,0
